Nom_commune;Coordonnees_gps;Departement
ETERCY;45.8924317262, 6.0079458329;HAUTE SAVOIE
BOISDINGHEM;50.7490608016, 2.09427817413;PAS DE CALAIS
ROIZY;49.4259330532, 4.18557721616;ARDENNES
BAISSEY;47.7489182688, 5.24988056664;HAUTE MARNE
WATTRELOS;50.7056367285, 3.21628221056;NORD
PARGNAN;49.3942391486, 3.70308940891;AISNE
VARILHES;43.0547690657, 1.63364245482;ARIEGE
LIEUTADES;44.8309397731, 2.89836316505;CANTAL
REALVILLE;44.1281472573, 1.48081390272;TARN ET GARONNE
ST SAVIN;46.5832866024, 0.840222181095;VIENNE
COURGENT;48.8957168468, 1.65941323514;YVELINES
JAZENEUIL;46.4676363109, 0.0747596893664;VIENNE
BOURG;45.0398664572, -0.547187308975;GIRONDE
BEGARD;48.6345594689, -3.29153247621;COTES D ARMOR
SANRY LES VIGY;49.185187158, 6.27924889026;MOSELLE
MARQUETTE LEZ LILLE;50.67409511, 3.05886328577;NORD
BRIANT;46.3008717665, 4.15112417263;SAONE ET LOIRE
RICHTOLSHEIM;48.2238657703, 7.60386287362;BAS RHIN
PLERGUER;48.5284745342, -1.84558109365;ILE ET VILAINE
SOUBISE;45.9097262725, -1.00226108589;CHARENTE MARITIME
ST LEZER;43.3591040686, 0.0308771458332;HAUTES PYRENEES
MOULARES;44.0770712635, 2.28567831942;TARN
MONT BERNANCHON;50.5892672563, 2.59806310499;PAS DE CALAIS
FOURBANNE;47.3358691374, 6.30644627353;DOUBS
OUIDES;44.9060432903, 3.7403767146;HAUTE LOIRE
ST COULITZ;48.1819241474, -4.06727219736;FINISTERE
ISSOR;43.0901244813, -0.658271988701;PYRENEES ATLANTIQUES
CUSSANGY;48.0230498915, 4.09099167975;AUBE
ST NICOLAS DE LA BALERME;44.1311576443, 0.756519172378;LOT ET GARONNE
STE MESME;48.5356862351, 1.94057719252;YVELINES
MEZENS;43.7911506401, 1.65853736504;TARN
ROPPEVILLER;49.0895314895, 7.5228410898;MOSELLE
LINIERS;46.6179212567, 0.530368469247;VIENNE
LIOCOURT;48.9116904529, 6.34175286688;MOSELLE
TINCHEBRAY BOCAGE;48.7558885792, -0.736451200504;ORNE
CHATEL SUR MOSELLE;48.3198523928, 6.40067968782;VOSGES
LA BASTIDE DE BESPLAS;43.1691827843, 1.27411323859;ARIEGE
BLIENSCHWILLER;48.3454000894, 7.41533948904;BAS RHIN
DENIER;50.2905902827, 2.44714550707;PAS DE CALAIS
ARGOULES;50.3376452337, 1.81790740998;SOMME
ASNIERES LA GIRAUD;45.8934744108, -0.510489870265;CHARENTE MARITIME
GADENCOURT;48.9842332257, 1.40341807937;EURE
AIME LA PLAGNE;45.5525768932, 6.61836974596;SAVOIE
JEUFOSSE;49.0353541387, 1.53724970145;YVELINES
ST MARTIAL SUR ISOP;46.1532476453, 0.873311624285;HAUTE VIENNE
VILLAINES LA JUHEL;48.3394105228, -0.292005010106;MAYENNE
