Nom_commune;Coordonnees_gps;Departement 
MANIGOD;45.850295364, 6.40113588124;HAUTE SAVOIE
LOMBRON;48.0861652592, 0.412614616268;SARTHE
BUOUX;43.8218210603, 5.37501768295;VAUCLUSE
FAYS;48.196859172, 6.66860089142;VOSGES
VEUIL;47.1325742708, 1.50980110531;INDRE
BREAL SOUS VITRE;48.0921515475, -1.06109442521;ILE ET VILAINE
GARGENVILLE;48.9931450718, 1.81069376214;YVELINES
VILLERSEXEL;47.559065822, 6.42909523129;HAUTE SAONE
SEMBOUES;43.4631952231, 0.173358322537;GERS
ST MARCEL CAMPES;44.083875553, 2.00175106626;TARN
VENERIEU;45.6596953757, 5.27623741722;ISERE
NANTOIN;45.4385673443, 5.26623101453;ISERE
AIGNERVILLE;49.3261867283, -0.918465184477;CALVADOS
LAVERUNE;43.5848099789, 3.80168949969;HERAULT
NAUJAN ET POSTIAC;44.7877867597, -0.184238478251;GIRONDE
DIORS;46.8294887211, 1.81115700532;INDRE
BELVEDERE;44.0564872239, 7.37383120022;ALPES MARITIMES
VILLETRUN;47.7867092973, 1.16554441978;LOIR ET CHER
LE MAGNORAY;47.5247427467, 6.09145764934;HAUTE SAONE
ERNES;49.0114314442, -0.125222684946;CALVADOS
CAYRES;44.9221545341, 3.81071346525;HAUTE LOIRE
CERCLES;45.367110589, 0.469505189702;DORDOGNE
CRASVILLE;49.5541955641, -1.33206905184;MANCHE
YZOSSE;43.7169211073, -1.01616122338;LANDES
JEANDELIZE;49.1734340947, 5.79665152824;MEURTHE ET MOSELLE
HAM EN ARTOIS;50.5916560768, 2.4526238091;PAS DE CALAIS
NOYERS;49.2458221928, 1.67352293727;EURE
BEILLE;48.0830099686, 0.509137455093;SARTHE
LOLIF;48.731700288, -1.39448203488;MANCHE
MARCILLE RAOUL;48.3743980511, -1.6139420088;ILE ET VILAINE
SAMATAN;43.4935426323, 0.934596447621;GERS
ST FRAIGNE;45.9572719379, -0.0153853235153;CHARENTE
GERMIGNEY;47.0384440113, 5.68614106484;JURA
TALENCIEUX;45.219237035, 4.77408036091;ARDECHE
BESSAS;44.3375930033, 4.2983262809;ARDECHE
LA MOTTE D AIGUES;43.7840840338, 5.52149188026;VAUCLUSE
ST PIERRE BENOUVILLE;49.7384423102, 0.97405131386;SEINE MARITIME
BRETEUIL;48.8525387012, 0.899890466074;EURE
CROUTELLE;46.5425586218, 0.2929490098;VIENNE
JOURNANS;46.1464982407, 5.33452833151;AIN
CUISERY;46.5569799009, 4.99361378862;SAONE ET LOIRE
MEZIERES SOUS LAVARDIN;48.1562672241, 0.0477555800744;SARTHE
BELLEFOND;44.7676238446, -0.173810088464;GIRONDE
ANTOIGNE;47.0784768788, -0.131764667589;MAINE ET LOIRE
ST ETIENNE SUR BLESLE;45.3041441888, 3.12573075931;HAUTE LOIRE
BLANDAS;43.9210570231, 3.50734376894;GARD
ANAN;43.3522518749, 0.810075633308;HAUTE GARONNE
SAGNES ET GOUDOULET;44.8014042397, 4.215812246;ARDECHE
L HOPITAL SOUS ROCHEFORT;45.772221105, 3.93582231796;LOIRE
GERONCE;43.2221479657, -0.710166887554;PYRENEES ATLANTIQUES
STE MERE EGLISE;49.4088606097, -1.32366056657;MANCHE
LESPARRE MEDOC;45.2821023678, -0.935162142648;GIRONDE
ST CREPIN;44.7243260485, 6.63555027257;HAUTES ALPES
FOSSE;42.7858632622, 2.43269558007;PYRENEES ORIENTALES
AUTOIRE;44.8583081491, 1.82558835092;LOT
ROQUES;43.8412918051, 0.297884331207;GERS
APPENANS;47.4512206188, 6.56926667052;DOUBS
SELOMMES;47.7654431209, 1.21145906213;LOIR ET CHER
ORADOUR SUR GLANE;45.9310728054, 1.02303381376;HAUTE VIENNE
GRANES;42.89537535, 2.25328133982;AUDE
MOVAL;47.5856192963, 6.88545785765;TERRITOIRE DE BELFORT
LANCHES ST HILAIRE;50.10029759, 2.1457130224;SOMME
WOLSCHHEIM;48.706871713, 7.45128183005;BAS RHIN
ETAIS LA SAUVIN;47.5119567987, 3.34972153514;YONNE
LAGRANGE;43.9663777626, -0.0809775646535;LANDES
LA SALLE;48.3240158454, 6.81120161943;VOSGES
PAULHE;44.1486388779, 3.11148254471;AVEYRON
AUCUN;42.9857652582, -0.201428304348;HAUTES PYRENEES
BASSE SUR LE RUPT;47.9864781279, 6.76859733903;VOSGES
LA ROCHE DE RAME;44.7656681153, 6.61644369734;HAUTES ALPES
TAILLEBOURG;44.4466946358, 0.203133379028;LOT ET GARONNE
LE HAM;48.3736183022, -0.353133097864;MAYENNE
ST SYMPHORIEN SUR SAONE;47.0909529728, 5.31775457592;COTE D OR
LES ISLES BARDEL;48.837428826, -0.349054919014;CALVADOS
ATTIGNEVILLE;48.39777973, 5.8275121847;VOSGES
VARENNES;47.9137837272, 3.78515786219;YONNE
FRONCLES;48.2997317806, 5.13968155091;HAUTE MARNE
CHENEVREY ET MOROGNE;47.2806388545, 5.73662541628;HAUTE SAONE
BEAUMETZ LES LOGES;50.2455653714, 2.65887337603;PAS DE CALAIS
ABEILHAN;43.4575019905, 3.29923508306;HERAULT
ESCLASSAN LABASTIDE;43.4161811903, 0.552126229054;GERS
TERNAY;45.6055276798, 4.80759320832;RHONE
COYRON;46.5124158536, 5.69815405752;JURA
CUBRY LES FAVERNEY;47.8157221284, 6.13346195549;HAUTE SAONE
CHATEAUGIRON;48.0441575779, -1.50016256863;ILE ET VILAINE
DONNENHEIM;48.7219425024, 7.66278189146;BAS RHIN
GUERLESQUIN;48.5315286912, -3.58783458581;FINISTERE
NONGLARD;45.9228803405, 6.02730833828;HAUTE SAVOIE
BILLY BERCLAU;50.5196248764, 2.86674896884;PAS DE CALAIS
LURAY;48.7158016965, 1.39904091699;EURE ET LOIR
OISSY;49.9026966706, 2.06025866834;SOMME
VALLERANGE;48.9502611982, 6.68677832719;MOSELLE
FONTAINES;47.6926210411, 3.25560632931;YONNE
FEUCHEROLLES;48.8800880696, 1.97983777956;YVELINES
VADENCOURT;50.0174902496, 2.49046113345;SOMME
CHERMIZY AILLES;49.4629888139, 3.71995479046;AISNE
BUSSIERE ST GEORGES;46.4017907068, 2.1551143589;CREUSE
VEZINNES;47.8922320806, 3.93235236779;YONNE
BIEVILLE BEUVILLE;49.2394857474, -0.336897222292;CALVADOS
GOURNAY LE GUERIN;48.7162632527, 0.76932677625;EURE
CHAUFFRY;48.8218818253, 3.18099765766;SEINE ET MARNE
ALBI;43.9258213622, 2.14686328555;TARN
ST GERVAIS;46.9285711589, -1.98059327519;VENDEE
MISEREY SALINES;47.2878400774, 5.97360872254;DOUBS
NIELLES LES ARDRES;50.8486968374, 2.00661569937;PAS DE CALAIS
TREMINIS;44.7326500492, 5.77205743161;ISERE
STE CROIX;44.7715735756, 5.28737455542;DROME
BLANQUEFORT;43.6742793399, 0.807524720457;GERS
CETON;48.2249965055, 0.758513883231;ORNE
ASTAFFORT;44.0646686165, 0.658006549076;LOT ET GARONNE
AVANNE AVENEY;47.2013939319, 5.9554996988;DOUBS
LEMERE;47.0937316918, 0.334993321235;INDRE ET LOIR
AIZE;47.1078990064, 1.70661723859;INDRE
LUBLE;47.5273559572, 0.255884396012;INDRE ET LOIR
ST ETIENNE;45.4301235512, 4.37913997076;LOIRE
SORIGNY;47.2310354675, 0.686650122405;INDRE ET LOIR
ALLAND HUY ET SAUSSEUIL;49.5119483771, 4.54919404707;ARDENNES
ST PAUL AUX BOIS;49.5443121228, 3.20260437248;AISNE
CROIX FONSOMME;49.9306761102, 3.39430326005;AISNE
STE FOY LA GRANDE;44.8408428381, 0.217540501109;GIRONDE
LACOMBE;43.4060884767, 2.24016063772;AUDE
NOMPATELIZE;48.3293457502, 6.85556075648;VOSGES
PUGNY CHATENOD;45.6923319762, 5.95516143969;SAVOIE
LAMOTHE;45.3149483053, 3.42693431019;HAUTE LOIRE
PLOUYE;48.3207546118, -3.73395205776;FINISTERE
BOOTZHEIM;48.1932692623, 7.58948440794;BAS RHIN
EPEIGNE SUR DEME;47.675476557, 0.617884266098;INDRE ET LOIR
STE MARIE EN CHANOIS;47.8381487494, 6.52006378078;HAUTE SAONE
COUTRAS;45.0390867207, -0.105373715279;GIRONDE
FLEURIEUX SUR L ARBRESLE;45.8393590284, 4.65229651357;RHONE
AURIONS IDERNES;43.53116782, -0.130770309579;PYRENEES ATLANTIQUES
DONZY LE PERTUIS;46.4479607517, 4.71724886753;SAONE ET LOIRE
OTTONVILLE;49.2161203101, 6.52231246205;MOSELLE
ST MAURICE DE BEYNOST;45.8343709108, 4.97726215174;AIN
FRANCHEVILLE;45.7378794318, 4.75508314041;RHONE
CULT;47.3144210178, 5.74365387087;HAUTE SAONE
ARC EN BARROIS;47.947611382, 5.02233277969;HAUTE MARNE
VENDOIRE;45.4123053163, 0.288800712815;DORDOGNE
COISE;45.6138333188, 4.46902321077;RHONE
GOIN;48.9875798423, 6.22300683385;MOSELLE
PRUNET;44.8227813134, 2.47531798605;CANTAL
THORIGNE D ANJOU;47.6350974159, -0.663556490698;MAINE ET LOIRE
MONTROND;46.7867874524, 5.84385490665;JURA
CHADRAC;45.0610194806, 3.90105321748;HAUTE LOIRE
VILLEPINTE;43.2808698633, 2.09551779472;AUDE
NEAU;48.1701789884, -0.474651575361;MAYENNE
ST MAIXENT L ECOLE;46.4128319027, -0.210238265156;DEUX SEVRES
ST MICAUD;46.6923867909, 4.52704929723;SAONE ET LOIRE
CHAVANOD;45.8844744691, 6.05040184575;HAUTE SAVOIE
BIERRE LES SEMUR;47.4224799453, 4.29555641395;COTE D OR
ST MARD LES ROUFFY;48.9537045244, 4.10363300278;MARNE
ST ROMAIN SUR CHER;47.318457927, 1.38640795013;LOIR ET CHER
LONGVILLERS;49.0464617085, -0.644154381572;CALVADOS
ST GINGOLPH;46.3882088835, 6.77810230849;HAUTE SAVOIE
MYENNES;47.4543629223, 2.94370342447;NIEVRE
MONTESSAUX;47.7375144324, 6.5647568741;HAUTE SAONE
LA CHAPELLE MONTBRANDEIX;45.6447907702, 0.853394327923;HAUTE VIENNE
ST GERVASY;43.8745230811, 4.46960919044;GARD
VAUDONCOURT;49.3164530998, 5.64496115253;MEUSE
QUIERZY;49.5641090409, 3.14613795931;AISNE
FONTAINE CHALENDRAY;45.9472253367, -0.176439795727;CHARENTE MARITIME
HUGLEVILLE EN CAUX;49.6236633392, 0.990120224832;SEINE MARITIME
BEUREY SUR SAULX;48.7566689617, 5.02891767706;MEUSE
ST AUBIN LE CLOUD;46.6572663301, -0.342791988653;DEUX SEVRES
GOUSSONVILLE;48.9235015144, 1.76677229339;YVELINES
GIVET;50.1424845969, 4.83512248031;ARDENNES
MIRIBEL;45.8442099203, 4.94106746787;AIN
VILLY EN TRODES;48.1969362165, 4.38937663411;AUBE
EPIEZ SUR MEUSE;48.5424602605, 5.62671048102;MEUSE
PEROLS SUR VEZERE;45.5751012606, 2.0039583591;CORREZE
QUAEDYPRE;50.9381093158, 2.46047387712;NORD
DROSNAY;48.5730970733, 4.61843085451;MARNE
ARRENTIERES;48.2679922026, 4.73910370169;AUBE
GROSBOIS LES TICHEY;47.0090636768, 5.2366823459;COTE D OR
COURNON;47.7490041075, -2.09816065532;MORBIHAN
LA BEZOLE;43.0291058072, 2.09555791235;AUDE
LIVRY GARGAN;48.9197633213, 2.53486592332;SEINE SAINT DENIS
LOUBIENG;43.4208530318, -0.756562747566;PYRENEES ATLANTIQUES
LAVARDIN;48.0837900789, 0.0628095880232;SARTHE
LE VERNET;46.1067527363, 3.47492140254;ALLIER
MORTEAU;47.063408704, 6.58305657113;DOUBS
TAJAN;43.1815736536, 0.451940506125;HAUTES PYRENEES
ARLET;45.1126240159, 3.41043296989;HAUTE LOIRE
BLANZAC LES MATHA;45.8719666521, -0.354451050762;CHARENTE MARITIME
FLOIRAC;44.9059208514, 1.67151833797;LOT
COURTETAIN ET SALANS;47.2598307803, 6.426501842;DOUBS
JALLANGES;46.9844079109, 5.17269015437;COTE D OR
BRIOUZE;48.7111600408, -0.377752655086;ORNE
MOLERE;43.0973035068, 0.300278702333;HAUTES PYRENEES
TARERACH;42.6850004554, 2.51090245856;PYRENEES ORIENTALES
EMERCHICOURT;50.3117441641, 3.25561088678;NORD
LAINSECQ;47.5486374956, 3.27963840045;YONNE
LE BUISSON;48.7556229579, 4.7516934988;MARNE
ESPIRAT;45.7531766214, 3.3349537305;PUY DE DOME
CALLENGEVILLE;49.8240856066, 1.52206018014;SEINE MARITIME
BARNAS;44.6689664287, 4.15925851766;ARDECHE
COS;42.9801592841, 1.56921939947;ARIEGE
MONTFORT EN CHALOSSE;43.7042977993, -0.836338362892;LANDES
SARDAN;43.8666268066, 4.03456687975;GARD
MEDILLAC;45.2160430243, 0.0140572392305;CHARENTE
LE BLANC;46.6346200347, 1.10013221164;INDRE
SIGOYER;44.3223711513, 5.96102816265;ALPES DE HAUTE PROVENCE
LE BIGNON;47.1004098153, -1.50942309254;LOIRE ATLANTIQUE
AUTEVIELLE ST MARTIN BIDEREN;43.3956392905, -0.977749738282;PYRENEES ATLANTIQUES
THENON;45.1324103618, 1.06369846915;DORDOGNE
MOUSSY VERNEUIL;49.4126815323, 3.63718132987;AISNE
COURPIGNAC;45.3142239112, -0.50021379321;CHARENTE MARITIME
PLAGNOLE;43.4114527316, 1.06388606316;HAUTE GARONNE
CROUSEILLES;43.5309932657, -0.0816458802012;PYRENEES ATLANTIQUES
CUSTINES;48.7893818613, 6.14616923168;MEURTHE ET MOSELLE
ESSERTINES EN CHATELNEUF;45.6183532974, 3.99924034774;LOIRE
URVILLE;48.1905034513, 5.74420469938;VOSGES
PALLADUC;45.908225301, 3.64219943697;PUY DE DOME
LAVANS LES ST CLAUDE;46.3901726307, 5.77719970471;JURA
MONTREUIL;46.3973419593, -0.840846860992;VENDEE
PREZ SOUS LAFAUCHE;48.2760804704, 5.50328753513;HAUTE MARNE
ROYE;47.6771506136, 6.5417073316;HAUTE SAONE
ST ROMAIN;46.2278846566, 0.380138967799;VIENNE
ST VINCENT DE BOISSET;46.0087202985, 4.11586749882;LOIRE
LA COURONNE;45.6096373338, 0.109121178707;CHARENTE
NOGARET;43.4925754832, 1.93375847468;HAUTE GARONNE
ST LOUP DE VARENNES;46.7239907998, 4.8521089943;SAONE ET LOIRE
CHALONNES SOUS LE LUDE;47.5572762686, 0.176064952548;MAINE ET LOIRE
LIVERDUN;48.7537166405, 6.05235397303;MEURTHE ET MOSELLE
GENOLHAC;44.3439338933, 3.95189024113;GARD
CHEZELLES;47.0666739706, 0.439662413548;INDRE ET LOIR
STE COLOMBE DES BOIS;47.3209444056, 3.15350066237;NIEVRE
LES MOUTIERS EN CINGLAIS;49.0231039076, -0.437703643826;CALVADOS
NASSIGNY;46.4978434905, 2.59440652102;ALLIER
NOUSSEVILLER ST NABOR;49.1292618087, 6.97126269237;MOSELLE
CONCORES;44.6672951054, 1.39090015895;LOT
LASCLAVERIES;43.4339584385, -0.291563063654;PYRENEES ATLANTIQUES
ST BRICE SOUS RANES;48.6784450821, -0.19335744417;ORNE
BLANZY;46.7042568403, 4.39315980341;SAONE ET LOIRE
TORCY LE GRAND;48.5234326195, 4.16799145735;AUBE
CATHERVIELLE;42.8234692001, 0.507545845496;HAUTE GARONNE
GORREVOD;46.414943437, 4.95120595427;AIN
CHANVILLE;49.0421866813, 6.43895041652;MOSELLE
SUZANNECOURT;48.4423356345, 5.18183107876;HAUTE MARNE
DOURBIES;44.0634660378, 3.4803051398;GARD
ST PARDOUX LA CROISILLE;45.2494070918, 1.96891800713;CORREZE
DONGES;47.3392097617, -2.0741602335;LOIRE ATLANTIQUE
MIERS;44.8603418758, 1.70422523019;LOT
CANCHY;49.3308597284, -0.984893554822;CALVADOS
ARGAGNON;43.4617440342, -0.676305200735;PYRENEES ATLANTIQUES
DAME MARIE;48.3547234316, 0.618155918935;ORNE
ARGENTEUIL;48.9511344629, 2.2410409502;VAL D OISE
MARUEJOLS LES GARDON;44.0058651478, 4.13598207367;GARD
ST PIERRE DE VARENNES;46.84711079, 4.5090273934;SAONE ET LOIRE
UXEAU;46.6565301063, 4.04556319316;SAONE ET LOIRE
JURY;49.0729756124, 6.25660660705;MOSELLE
CHATEAUNEUF SUR CHER;46.8663441588, 2.34034434393;CHER
NIEDERNAI;48.4456110275, 7.53064650952;BAS RHIN
CAEN;49.1847936737, -0.369801713036;CALVADOS
BANS;46.9829169242, 5.58184356707;JURA
LONGECHENAL;45.4228948785, 5.3603298976;ISERE
ST PIERRE D AMILLY;46.1753767073, -0.698370030473;CHARENTE MARITIME
SABAILLAN;43.4421078031, 0.811963584159;GERS
TORPES;47.1724802997, 5.88041302138;DOUBS
CONTREGLISE;47.8413661613, 6.02951411465;HAUTE SAONE
SUZY;49.556451044, 3.46091896853;AISNE
BEZANGE LA GRANDE;48.747640463, 6.47273971333;MEURTHE ET MOSELLE
MIANNAY;50.0958685201, 1.71810274117;SOMME
RITTERSHOFFEN;48.892173968, 7.97014656337;BAS RHIN
MONASSUT AUDIRACQ;43.4131575035, -0.203083854292;PYRENEES ATLANTIQUES
LAURET;43.5638042916, -0.328125320173;LANDES
AVIGNON;43.9352448339, 4.84071572505;VAUCLUSE
PLEVENON;48.6575564031, -2.32020473916;COTES D ARMOR
ST GEORGES SUR LOIRE;47.4024678993, -0.756078071904;MAINE ET LOIRE
CHERISY;50.233594509, 2.91299322756;PAS DE CALAIS
CARNAC ROUFFIAC;44.4171586039, 1.22177505149;LOT
FRANCAY;47.6178643296, 1.10778289349;LOIR ET CHER
SEPPOIS LE HAUT;47.5306368424, 7.189321425;HAUT RHIN
DELUZ;47.2971963372, 6.19334216229;DOUBS
VILLENAVE;43.965937453, -0.822038920542;LANDES
PIERREFITTE EN BEAUVAISIS;49.4736179476, 1.97936624141;OISE
TOUZAC;45.5386944095, -0.149448377532;CHARENTE
COMMENAILLES;46.8055925733, 5.43718044801;JURA
MURET LE CHATEAU;44.4957128112, 2.57147635051;AVEYRON
ST GERVAIS DU PERRON;48.5368344624, 0.150158348014;ORNE
CHARLEVILLE SOUS BOIS;49.1959515116, 6.4063041025;MOSELLE
ST MARS DE COUTAIS;47.0798520838, -1.75208948345;LOIRE ATLANTIQUE
NERVILLE LA FORET;49.0903513665, 2.27625010335;VAL D OISE
DRUBEC;49.2496863496, 0.104043882828;CALVADOS
MONTOLDRE;46.3375770064, 3.45102443628;ALLIER
PULVERSHEIM;47.8417545163, 7.29938600329;HAUT RHIN
MILLERY;47.5135595984, 4.31750870868;COTE D OR
LARROQUE;43.3134878152, 0.487635169542;HAUTES PYRENEES
EPERNON;48.5941135535, 1.68537156703;EURE ET LOIR
AUZANCES;46.0263051505, 2.50665292923;CREUSE
BAR SUR AUBE;48.2339751025, 4.71595700167;AUBE
ARDIN;46.4816783917, -0.55505132274;DEUX SEVRES
LAUSSOU;44.576580457, 0.779457385145;LOT ET GARONNE
ANCRETIEVILLE ST VICTOR;49.6545166114, 0.967454665493;SEINE MARITIME
ST PARDOUX;46.0543225356, 3.00502990654;PUY DE DOME
SAIVRES;46.4370891679, -0.233108202857;DEUX SEVRES
GUILLERVAL;48.368305642, 2.07601234971;ESSONNE
MARIEUX;50.1008204397, 2.44635415913;SOMME
BEZENET;46.3323101362, 2.84939307523;ALLIER
FREIGNE;47.5362195118, -1.10598728403;MAINE ET LOIRE
CESNY BOIS HALBOUT;48.9853267914, -0.394469235831;CALVADOS
ETH;50.3253571369, 3.66687653832;NORD
COUTURE D ARGENSON;45.9956854391, -0.0844691973496;DEUX SEVRES
VAVRAY LE PETIT;48.8075522088, 4.7160526865;MARNE
BINDERNHEIM;48.2870316499, 7.61448549663;BAS RHIN
NUAILLE D AUNIS;46.2376314923, -0.92874328241;CHARENTE MARITIME
PORT LAUNAY;48.2176622722, -4.08308169881;FINISTERE
ESCLAUZELS;44.4322856045, 1.59801365045;LOT
HANVEC;48.330060559, -4.13907964389;FINISTERE
TULLE;45.2731516999, 1.76313875655;CORREZE
FOSSE;49.4497857688, 5.00506242697;ARDENNES
NESPOULS;45.0563342157, 1.50252648148;CORREZE
FOURNEAUX;45.1790051314, 6.63768399812;SAVOIE
SORE;44.3064675641, -0.611382672476;LANDES
FORGES LES EAUX;49.6117853364, 1.53278752911;SEINE MARITIME
VARCES ALLIERES ET RISSET;45.0908638366, 5.67685585853;ISERE
LA FERTE IMBAULT;47.4015726244, 1.95894695638;LOIR ET CHER
MEYRIEU LES ETANGS;45.5155327339, 5.19856670609;ISERE
NABAS;43.3317101736, -0.888663049804;PYRENEES ATLANTIQUES
MARBOZ;46.3434312497, 5.24374534963;AIN
ABBANS DESSUS;47.1269966057, 5.88626408283;DOUBS
VILLEDOUX;46.2434012234, -1.07321328867;CHARENTE MARITIME
ERGUE GABERIC;48.0120306692, -4.0074505723;FINISTERE
ST AVIT RIVIERE;44.7401593829, 0.906593699917;DORDOGNE
ST MICHEL DE LAPUJADE;44.587647568, 0.0785219724491;GIRONDE
MORIVILLER;48.4809875123, 6.44040977493;MEURTHE ET MOSELLE
CREMPIGNY BONNEGUETE;45.9467841367, 5.90312519314;HAUTE SAVOIE
SEGUR LE CHATEAU;45.427657429, 1.30428297034;CORREZE
LOURES BAROUSSE;43.0272522696, 0.603543320181;HAUTES PYRENEES
CASTELNAU D AUZAN LABARRERE;43.9434923568, 0.10186302495;GERS
DROUE;48.0341247129, 1.06588244097;LOIR ET CHER
MESLAN;47.9879241099, -3.44802769432;MORBIHAN
ASSENONCOURT;48.7664604694, 6.79955530067;MOSELLE
SEGUR LES VILLAS;45.2080545733, 2.82298394403;CANTAL
ST MAURICE SUR ADOUR;43.7918644129, -0.466687909034;LANDES
CAILLOUX SUR FONTAINES;45.8603404776, 4.88370094201;RHONE
BLAN;43.5195201544, 2.02369927552;TARN
MONES;43.4181669738, 1.03320759;HAUTE GARONNE
NEUVILLE SUR ORNAIN;48.8215154399, 5.0508300311;MEUSE
GROUCHES LUCHUEL;50.1821528022, 2.38075340423;SOMME
RUOMS;44.4479030757, 4.34786189328;ARDECHE
BEDOUES COCURES;44.3539456684, 3.61955972065;LOZERE
FONTRAILLES;43.3424585482, 0.368909254988;HAUTES PYRENEES
ST REMY;45.6543418115, 2.27375449222;CORREZE
BERCENAY LE HAYER;48.3318095412, 3.58999948378;AUBE
LECT;46.3941077641, 5.67259916552;JURA
ST ELOI;46.9901181067, 3.22198605099;NIEVRE
ST ANDRE DES EAUX;47.3234376088, -2.31269060612;LOIRE ATLANTIQUE
RECHICOURT LA PETITE;48.717997142, 6.58235675457;MEURTHE ET MOSELLE
ST OUEN DE PONTCHEUIL;49.2347786793, 0.950431640532;EURE
L ECHELLE;49.8052823927, 4.48398953543;ARDENNES
SARNIGUET;43.3191202591, 0.0882106064948;HAUTES PYRENEES
SASSIERGES ST GERMAIN;46.7550023432, 1.89054741912;INDRE
RIBOUISSE;43.1712295534, 1.90430739678;AUDE
LINDRY;47.8006537092, 3.4288280044;YONNE
HOUDELAINCOURT;48.5516999115, 5.45666519241;MEUSE
RIVARENNES;47.2512605554, 0.362365468313;INDRE ET LOIR
LIVET SUR AUTHOU;49.2288510022, 0.654737767065;EURE
SENIERGUES;44.714653063, 1.560844102;LOT
ALBON;45.2388897722, 4.86235251807;DROME
CHANAC;44.4502200567, 3.34457977647;LOZERE
POUSSAN;43.4938682747, 3.66060526328;HERAULT
VILLEFRANCON;47.4129035904, 5.74249429132;HAUTE SAONE
CORMOZ;46.4336632942, 5.22181275755;AIN
RIVARENNES;46.6136609061, 1.37923363708;INDRE
NEAUFLES AUVERGNY;48.8743528336, 0.74447514343;EURE
ST PE D ARDET;42.9860697615, 0.679972122876;HAUTE GARONNE
BOURRET;43.9436352242, 1.15609472542;TARN ET GARONNE
CHOCQUES;50.5404138209, 2.56222999188;PAS DE CALAIS
PECHAUDIER;43.5445327743, 1.94651910659;TARN
BUSTINCE IRIBERRY;43.1873136505, -1.18469156817;PYRENEES ATLANTIQUES
VICQ;46.1471274068, 3.09596954152;ALLIER
CUISLES;49.1303077225, 3.77691947684;MARNE
ROQUEFEUIL;42.8466988532, 1.99530342832;AUDE
FEUQUIERES EN VIMEU;50.0586890132, 1.60286717803;SOMME
BORD ST GEORGES;46.2516533293, 2.28716245928;CREUSE
AYDIE;43.5707613227, -0.113447741678;PYRENEES ATLANTIQUES
CHAUNY;49.619880673, 3.21875355041;AISNE
ST MEARD DE GURCON;44.9112714239, 0.177925010262;DORDOGNE
SOUFFRIGNAC;45.5866525328, 0.498091026273;CHARENTE
EVRES;48.9823527638, 5.1255521249;MEUSE
CHARLIEU;46.166320434, 4.17407848439;LOIRE
GRAIGNES MESNIL ANGOT;49.2380106991, -1.20015194304;MANCHE
LA ROUVIERE;43.9199042762, 4.24092022842;GARD
SOMMANT;47.0533646393, 4.20964551396;SAONE ET LOIRE
SALEUX;49.8620778346, 2.21887634143;SOMME
PEYMEINADE;43.6305294544, 6.88166520884;ALPES MARITIMES
REBREUVIETTE;50.2575030027, 2.3638974015;PAS DE CALAIS
ST MICHEL LABADIE;44.0067895923, 2.42805040105;TARN
ST BARTHELEMY;48.6842500413, -0.950654669015;MANCHE
BEAURONNE;45.1003503966, 0.363141785914;DORDOGNE
LOIRE LES MARAIS;45.9927474473, -0.927468396271;CHARENTE MARITIME
LACENAS;45.986314587, 4.64749345552;RHONE
ISSENDOLUS;44.7387423552, 1.77955688281;LOT
OISY LE VERGER;50.2504114011, 3.12224592091;PAS DE CALAIS
ST BARTHELEMY;43.5201160694, -1.33110280888;LANDES
LIGNIERES SONNEVILLE;45.5660291672, -0.185136397799;CHARENTE
MOUXY;45.6795438416, 5.94799104168;SAVOIE
LE PLESSIS PATTE D OIE;49.6838619137, 3.06584033346;OISE
TOGNY AUX BOEUFS;48.8465790978, 4.42100509871;MARNE
BOIS D ARCY;48.8044185716, 2.01911294303;YVELINES
ST JEAN D ARDIERES;46.1270163797, 4.72219308287;RHONE
LA VINEUSE;46.4606978689, 4.60125621922;SAONE ET LOIRE
ROCE;47.8136847101, 1.14871194274;LOIR ET CHER
GOUPILLIERES;49.5835705579, 0.983266769608;SEINE MARITIME
ST PIERRE LE BOST;46.3965019066, 2.26230447209;CREUSE
AMILLY;48.4423011417, 1.40659215552;EURE ET LOIR
ST DIDIER;47.3168067442, 4.17339058953;COTE D OR
BUHL;48.9172713817, 8.01562633252;BAS RHIN
SAGELAT;44.7848099741, 1.02305020725;DORDOGNE
DOISSIN;45.5015004907, 5.42840010455;ISERE
BRION;46.1686327301, 5.54656422194;AIN
JANZE;47.9428950804, -1.50038718382;ILE ET VILAINE
PARIS 15;48.8401554186, 2.29355937244;PARIS
MASSY;48.7277896426, 2.27513131903;ESSONNE
CHANTELOUP;48.8929574359, -1.4825906848;MANCHE
RILHAC RANCON;45.9077850023, 1.33257526084;HAUTE VIENNE
PERRIGNY SUR L OGNON;47.3052827359, 5.4638499105;COTE D OR
ST LAURENT D AIGOUZE;43.5704667383, 4.24257576884;GARD
ST PIERRE DE LAGES;43.5681959478, 1.62684494584;HAUTE GARONNE
LANCON;49.2748052641, 4.88800053643;ARDENNES
POMACLE;49.3365316045, 4.14756415081;MARNE
TREBEURDEN;48.7707775944, -3.55769238632;COTES D ARMOR
VILLIERS EN PLAINE;46.4150506685, -0.536890888981;DEUX SEVRES
MOLESMES;47.6074096657, 3.45720095368;YONNE
FERRIERE LA GRANDE;50.2456386476, 3.99089727257;NORD
ORIST;43.6383171694, -1.17398532413;LANDES
MONTAIMONT;45.3743025025, 6.36455124986;SAVOIE
BRUNELLES;48.3251844262, 0.912576880083;EURE ET LOIR
LYS HAUT LAYON;47.1373301524, -0.559450064005;MAINE ET LOIRE
SOLGNE;48.9686599172, 6.29890596956;MOSELLE
